,0
92,2.1207537428140966e-05
93,3.314308501343758e-05
94,1.8497119284818916e-05
95,3.0189612897575477e-05
96,1.529143929574971e-05
97,8.33710557516509e-05
98,7.361473148550898e-05
99,4.209042858616221e-05
100,4.098059613442395e-05
101,1.2096713222514018e-05
102,4.586046590002601e-05
103,2.1976760828763897e-05
104,1.8406420524218058e-05
105,7.177897099384166e-05
106,5.539927715997228e-05
107,5.0475859952537e-05
108,0.00011271070263857602
109,3.070444270945749e-05
110,0.00011076552690774579
111,1.7447961995483504e-05
112,2.1118683067658368e-05
113,2.3726368689855426e-05
114,1.3240988037899742e-05
115,1.7058847297051766e-05
116,1.1821597311024603e-05
117,2.90259236134214e-05
118,2.197854658205029e-05
119,1.6344010378635236e-05
120,2.0784430393234493e-05
121,0.00023755608155571058
122,0.00018173117980077613
123,9.651930629175094e-05
124,8.426136471621383e-06
125,8.386953799088056e-05
126,1.215809402098245e-05
127,1.0700764634418849e-05
128,1.1105499486685764e-05
129,2.3777822466195064e-05
130,2.0387166192088753e-05
131,9.493089372393243e-05
132,3.12809094995851e-05
133,8.61032778408406e-06
134,6.081604022150402e-06
135,7.2950151127987896e-06
136,5.258381047284264e-06
137,1.2268451440282427e-05
138,8.91020787720222e-06
139,1.3396289347197429e-05
140,5.373728868529179e-06
141,3.2115059849359716e-06
142,6.557556015097967e-06
143,1.186022806783617e-05
144,1.4587584758956024e-05
145,2.091063292385191e-05
146,4.44496043216516e-06
147,1.1042830824951345e-05
148,1.8499861105419893e-05
149,7.565225412685473e-05
150,3.284679988962713e-05
151,4.20598725565377e-05
152,3.1709223768580424e-05
153,3.869926974217234e-06
154,1.3458817080477014e-05
155,6.35819571903927e-05
156,4.739290501183384e-05
157,1.9283326149742147e-05
158,1.6264050050976214e-05
159,1.4767890342217867e-05
160,2.561749461124816e-05
161,2.415251364080932e-05
162,2.0039808279156146e-05
163,2.7168604854858974e-06
164,1.9534256840340265e-05
165,5.44965583028501e-05
166,3.098299354829333e-05
167,1.53419417241236e-05
168,3.0235597438956167e-05
169,4.767077064436132e-05
170,7.44246741072227e-06
171,5.444193901709857e-05
172,9.784822663886442e-06
173,1.1804907363160777e-05
174,5.0583097788048194e-05
175,4.505465133614161e-06
176,6.048436252535752e-06
177,9.593392830271465e-06
178,1.260667258926508e-05
179,0.00011025536103899688
180,6.346991237736161e-05
181,8.651001356785573e-06
182,9.777935756444235e-06
183,7.993448764805121e-05
184,2.9760588524797065e-05
185,3.486271699068324e-05
186,4.1521306510870204e-05
187,4.3571069919633167e-05
188,9.021814769070538e-06
189,3.1479247314548494e-05
190,4.730808378015681e-05
191,6.814778827637367e-06
192,9.784968714953566e-06
193,1.7335898942291732e-05
194,5.7081263414076505e-05
195,1.1064917513393118e-05
196,1.3690538888295938e-05
197,1.0074984413389313e-05
198,1.9707995958980292e-05
199,1.699579143000165e-05
200,2.152198101851518e-05
201,1.7007860952072145e-05
202,2.2097856156879525e-05
203,1.5952367154358107e-05
204,4.9033627192574355e-05
205,1.4370738354931665e-05
206,8.576505799844048e-06
207,1.4797952215288838e-05
208,1.7600659304630023e-05
209,2.192276263034934e-05
210,1.4646937743539348e-05
211,3.4826410428545643e-05
212,2.5086427239761662e-05
213,8.08891188185209e-06
214,2.5583734560410876e-05
215,1.862430615123268e-05
216,1.4211813771157893e-05
217,1.0834145215001175e-05
218,1.348985415202117e-05
219,2.0012493951881324e-05
220,7.005140484268393e-06
221,8.158508651736176e-06
222,1.463822934647559e-05
223,9.690896911712154e-06
224,1.580922919958356e-05
225,3.7111205115255207e-06
226,1.3867072542162254e-05
227,4.3263168711949415e-05
228,6.186692492384335e-05
229,3.9477249466541806e-05
230,2.2490293503514386e-05
231,2.9647857291134006e-05
232,3.0039358690583666e-05
233,2.235012932055797e-05
234,0.00017574694442454956
235,9.909705120948249e-05
236,0.0001005323140729376
237,5.57880959054229e-05
238,3.310356867171979e-05
239,6.349206130028486e-06
240,7.066358648925573e-06
241,0.00015106513663617346
242,4.567725452330112e-06
243,6.947115984054543e-06
244,2.774504674064473e-05
245,9.528684019786705e-05
246,3.714351220759705e-06
247,0.00012198316733908413
248,5.130591057281383e-06
249,4.177627598638709e-06
250,9.327862579157424e-06
251,6.900479074433387e-06
252,4.6521618306476955e-06
253,1.1329426545259497e-05
254,1.99609195788315e-05
255,1.9206101252137885e-05
256,9.818635517456117e-05
257,1.39876618424484e-05
258,9.224516656507838e-05
259,1.573414848100988e-05
260,3.275678270942795e-05
261,0.2878679136527332
262,1.2143647067109406e-05
263,0.365763242172239
264,6.898661138745357e-06
265,2.690264184517968e-05
266,7.233159986959234e-06
267,3.3080988684374464e-05
268,1.4467954485820064e-05
269,7.375212666792107e-06
270,1.8375403554951134e-05
271,4.657250338982269e-05
272,1.341323428881952e-05
273,1.8217204083876394e-05
274,2.347913720199734e-05
275,2.3015392372055026e-05
276,1.8935355338685777e-05
277,2.9502829036753065e-05
278,2.2765666874154093e-05
279,2.106501331591356e-05
280,1.9550980880811545e-05
281,1.3762465123708945e-05
282,2.4703097912265044e-05
283,1.5137055163162394e-05
284,3.0230984808261588e-05
285,3.1346054559618495e-05
286,2.9529170402180154e-05
287,1.989773548306515e-05
288,1.2844781772161456e-05
289,2.242395745086895e-05
290,3.9515612334937296e-05
291,2.637179917298498e-05
292,1.8246088593306605e-05
293,3.882753959617172e-05
294,1.4111496659613219e-05
295,2.8186303108006868e-05
296,1.7222588599097825e-05
297,4.024977884480374e-05
298,1.2641471896899323e-05
299,1.9514924874728096e-05
300,1.5670165339833984e-05
301,9.00514432841732e-06
302,0.00037217300028376477
303,1.9074013134075296e-05
304,1.1469401289936764e-05
305,2.671189234656768e-05
306,0.00021765257779617127
307,0.00014182822357127885
308,0.00023638469734888222
309,0.00012865648236222012
310,0.00012104387297486128
311,2.8059366984160163e-05
312,3.092315432430398e-05
313,2.405641103897435e-05
314,3.5664732198610644e-05
315,1.80018870763104e-05
316,1.6750754994560008e-05
317,2.6297660374995446e-05
318,1.1950236759928636e-05
319,3.993730260160571e-05
320,2.4999842905200586e-05
321,1.0892991938061077e-05
322,1.4489641290214284e-05
323,4.271144351825331e-05
324,2.5081818309314288e-05
325,1.1922259871242832e-05
326,1.5086961375259351e-05
327,7.405837292227112e-06
328,2.6688243199192402e-05
329,9.87773311601084e-06
330,7.644944426675533e-06
331,1.544756260051314e-05
332,9.276266710372985e-06
333,3.913111608097144e-05
334,1.752390437271579e-05
335,2.5823468078058145e-05
336,3.8581738863900325e-06
337,9.493962102032898e-06
338,2.0615624996694076e-05
339,6.286267228589265e-05
340,3.637171940151024e-05
341,5.7729475095090977e-05
342,2.8394582521593644e-06
343,2.122719498421793e-05
344,0.00010522703496727589
345,8.062016395307842e-05
346,7.408176610076967e-05
347,7.093994676438052e-05
348,7.5530474342277674e-06
349,5.322156911567269e-06
350,3.209227814716057e-05
351,4.040226790695244e-06
352,7.756686485570744e-05
353,6.253933117283602e-06
354,1.7604166831471146e-05
355,9.378160178430299e-05
356,9.481818485576078e-06
357,3.380456152066886e-05
358,1.8907011470553278e-05
359,0.000130996842622444
360,2.690355967174937e-05
361,6.954653053711024e-05
362,3.904107205322696e-06
363,4.407581266006082e-06
364,2.069834430239815e-05
365,8.245039135279276e-06
366,9.861533845727439e-05
367,3.836508494694879e-05
368,2.087616027113554e-05
369,6.069997403268508e-05
370,0.00010137550679310718
371,1.4663789777398948e-05
372,1.1653391539552567e-05
373,9.398676548973877e-06
374,1.53406741921033e-05
375,8.391003732625229e-05
376,7.918587422883071e-06
377,1.1470736909301694e-05
378,1.7956606252158815e-05
379,5.736021552135464e-05
380,4.185972255218655e-05
381,3.9565306073725546e-05
382,2.4894055675539197e-05
383,5.985448164438704e-05
384,0.00025183147832813664
385,1.0418573826870277e-05
386,1.5637828367832078e-05
387,2.0200873961004172e-05
388,4.1856399739740975e-06
389,6.390149158214589e-06
390,2.0139782065535438e-05
391,6.023561824913452e-06
392,4.477093926033476e-05
393,6.564165324557718e-05
394,2.544891932149146e-05
395,0.00011567204651316012
396,2.7684033274127375e-05
397,2.119611733010768e-05
398,2.764972941250922e-05
399,5.9022961579957225e-06
400,4.30115253940285e-05
401,1.9629751762295414e-05
402,2.417030194137016e-05
403,2.714634414948667e-05
404,1.3734575196233753e-05
405,8.203920364435345e-06
406,0.0001091274851148395
407,0.00019430812568890467
408,0.00016444922429085374
409,9.20767537341845e-06
410,5.777716059862628e-05
411,2.8282116508773818e-05
412,4.1434917715114124e-05
413,4.40678327743799e-05
414,9.780248537856507e-06
415,6.112194643318269e-05
416,2.5845131018062323e-05
417,2.271101051115886e-05
418,1.1338590108585407e-05
419,7.179195997088801e-06
420,8.276449137472502e-06
421,3.086012022186878e-05
422,6.733355014038294e-06
423,1.5250213171550713e-05
424,6.0908195480768786e-05
425,3.8925409224782435e-05
426,2.044729825087306e-05
427,7.68763652217905e-06
428,7.599809106078663e-06
429,3.399432333351066e-05
430,1.5834676135353267e-05
431,1.2809294176204601e-05
432,1.4061377711040369e-05
433,1.0383570448533747e-05
434,9.142881238061252e-06
435,1.9413306766731916e-05
436,6.676254604642185e-06
437,7.212827307537683e-06
438,7.093482359345348e-05
439,1.9537504003970573e-05
440,9.477918072154767e-05
441,1.6511357932793466e-05
442,4.427658428552146e-06
443,4.550924888073505e-06
444,4.788062420564411e-06
445,3.848171892483069e-06
446,4.785741902013282e-06
447,7.762680501308608e-06
448,1.3368643917476329e-05
449,2.9001340916751705e-06
450,5.750372589262931e-06
451,1.1368312831490547e-05
452,2.6009846183117138e-05
453,1.0292219930058054e-05
454,1.0277308315310696e-05
455,3.521588779857869e-05
456,0.00012758889567052674
457,0.00018494606746288282
458,0.00011637527411583354
459,1.051845649871023e-05
460,1.4383210284074263e-05
461,7.992820031969892e-06
462,9.905535146082164e-06
463,8.053390333024965e-06
464,9.401896320828951e-06
465,1.207325130270413e-05
466,1.8429206855229305e-05
467,4.649397833666035e-05
468,3.1697434241938263e-05
469,1.1447889589033578e-05
470,9.20368498485781e-06
471,4.2495676363605476e-05
472,5.314174389425645e-05
473,1.5410146257609603e-05
474,8.072258703465368e-06
475,1.302709657014443e-05
476,1.2080435388673764e-05
477,3.341472349419934e-05
478,8.751300547698494e-05
479,4.8302774748066976e-05
480,3.2284534877599614e-05
481,0.00010208881914069594
482,3.432601210077581e-05
483,4.762228383025793e-05
484,2.8865816079441778e-05
485,1.7345448664316434e-05
486,1.1856551475675157e-05
487,4.1371064836100634e-05
488,4.787796571243814e-05
489,1.4847611397205064e-05
490,2.1698700300952788e-05
491,4.583648912489582e-05
492,1.2760100324785705e-05
493,3.721062193993063e-05
494,1.4828927253519682e-05
495,4.3518921198280654e-05
496,1.8399288937153847e-05
497,1.5327134959796865e-05
498,1.4014360793405741e-05
499,9.286836876690445e-06
500,6.561982112739749e-05
501,1.0739605009456694e-05
502,2.121577822955574e-05
503,2.5385331165580112e-05
504,2.3469700990500444e-05
505,2.1732125900476508e-05
506,1.3045327545153375e-05
507,5.213132945907271e-06
508,1.1175769104115041e-05
509,2.2029053318678156e-05
510,3.305145070302403e-05
511,2.0670678428119672e-05
512,1.1492878180288362e-05
513,0.00041670510662736754
514,4.942588587247615e-05
515,5.366255951602974e-05
516,1.756876140935385e-05
517,1.570975928209559e-05
518,1.1270995028101957e-05
519,1.6156621483073415e-05
520,3.6540430064078776e-05
521,3.73693939124664e-05
522,7.768878106436259e-06
523,8.719366892966026e-06
524,3.387299511343142e-06
525,7.602469571663069e-06
526,9.137549112147592e-06
527,1.9249265678733945e-05
528,7.338434928984288e-06
529,5.323780589245969e-05
530,6.40624571091721e-05
531,2.909533649195565e-05
532,1.3947279568028125e-05
533,2.4638370936658194e-05
534,1.0706937776787318e-05
535,5.834475965905642e-06
536,0.00045505214823707166
537,1.6873113526767427e-05
538,3.821361321003712e-05
539,0.0001233236961914042
540,2.9435346167196984e-05
541,0.0002278610387489868
542,3.6974823255722825e-05
543,1.9640621348617118e-05
544,2.209824824531636e-05
545,3.1578733258545985e-05
546,4.167346643249187e-05
547,5.370884548637905e-06
548,5.125944980960117e-05
549,5.5129498344429816e-05
550,6.118043040067564e-05
551,5.9870529256540504e-05
552,2.892666535056633e-05
553,5.9122996705452825e-06
554,3.0581641638163775e-05
555,2.7675742440284455e-05
556,3.9657587788254386e-05
557,0.00018036973217049765
558,1.4161401490227188e-05
559,4.1553577332010744e-05
560,4.119745054724578e-05
561,3.148708534093578e-05
562,3.157097366500483e-05
563,3.420567117354183e-05
564,3.4683137313466986e-05
565,2.121627453021893e-05
566,2.4963666906565072e-05
567,2.5045495417760603e-05
568,1.915252658150719e-05
569,0.000307089756476365
570,2.2137730619660937e-05
571,3.126521453708903e-05
572,2.5891343245338785e-05
573,1.8414629268437884e-05
574,1.63365161648175e-05
575,0.00010040267229178276
576,3.920279186449941e-05
577,1.3148956696453746e-05
578,6.740151967976233e-05
579,3.226071563820554e-05
580,4.333016405479622e-05
581,2.260168406425081e-05
582,5.5458060194043573e-05
583,4.534746878097644e-05
584,6.314696774361973e-06
585,1.2430416852330795e-05
586,3.4745875711374394e-05
587,8.92196900920663e-06
588,1.9122933612864102e-05
589,3.790603671598577e-05
590,7.567059104613324e-06
591,9.942750729064938e-06
592,6.775099501348398e-06
593,3.438960073686101e-05
594,3.597184886559602e-05
595,7.754274505023979e-05
596,1.9182844574630183e-05
597,1.6004645279778004e-05
598,0.0001518024103096212
599,0.00022123808000598555
600,2.230562768457196e-05
601,2.006203398487075e-05
602,6.436380271546196e-06
603,3.9297727972090735e-06
604,8.89293135436496e-06
605,8.003709517125499e-06
606,1.0268545786788884e-05
607,8.430374521605686e-06
608,7.689702941024111e-05
609,6.907008173882591e-05
610,3.060089381071532e-05
611,3.659335770355815e-05
612,1.2094509837768193e-05
613,1.1718416871690491e-05
614,5.593637947546882e-06
615,1.6232252914036607e-05
616,8.09553896370907e-05
617,1.9539170571083747e-05
618,1.368934583952828e-05
619,0.00014972139214792366
620,0.00014323739202922668
621,0.00016017282886328013
622,0.00015404793650713184
623,2.5046332604032654e-05
624,3.262640972881827e-05
625,7.248321749684233e-05
626,1.8699323671654124e-05
627,1.3614913604022277e-05
628,0.0001837776471352404
629,8.53076753758017e-06
630,1.0215407728756766e-05
631,4.756390825856827e-06
632,5.350171264359786e-06
633,4.8178385491116184e-06
634,6.5864417274169e-06
635,0.00015049301419616578
636,0.00010872853480005365
637,7.235843636291484e-05
638,0.00011412728844094176
639,6.217255584001522e-05
640,4.6634195766692334e-05
641,4.620510486223638e-05
642,3.873323854605841e-05
643,3.8154257579492486e-05
644,1.1042033644046206e-05
645,1.2640193372931961e-05
646,2.603994299091206e-05
647,0.0001405015812950153
648,8.893448632854829e-05
649,4.822456803605887e-05
650,6.9367775865632e-05
651,2.167021620938096e-05
652,1.0932602314749445e-05
653,1.3200219615805277e-05
654,2.8316076041347516e-05
655,6.872568533510247e-05
656,6.849242152952844e-05
657,0.00020864521723300562
658,6.354600108021181e-05
659,5.8675285609919954e-05
660,0.00013182982037374043
661,9.62328102149679e-05
662,5.831164199669972e-05
663,4.654916304567342e-06
664,5.6603175170169406e-05
665,5.006409405100872e-06
666,8.15649084858093e-05
667,1.0324518926477186e-05
668,7.280890322387925e-05
669,1.1691371600950395e-05
670,1.665324255388503e-05
671,1.2295543018951356e-05
672,3.603072155804478e-05
673,1.931779289953617e-05
674,1.2508378208310669e-05
675,5.709927430836514e-06
676,1.3292740212399126e-05
677,1.0577188777473753e-05
678,3.251219513659888e-05
679,2.481885155859171e-05
680,1.461969041468258e-05
681,1.7661513786889633e-05
682,5.223232849811386e-05
683,0.00010365062880738149
684,7.587929630898025e-05
685,2.5159593144375715e-05
686,1.0852970268869471e-05
687,1.4912637355150879e-05
688,1.0888081353574229e-05
689,1.804013859237243e-05
690,7.738098873140235e-06
691,0.00013403565507807464
692,1.6574009165191773e-05
693,1.3718144728471034e-05
694,1.2886710715231004e-05
695,7.844107740120333e-05
696,4.8541744824723194e-05
697,5.138147121842504e-05
698,6.778379960022366e-05
699,2.1788129226005234e-05
700,6.323358584242173e-05
701,6.536232624645202e-06
702,9.47832314110536e-05
703,5.621211906776692e-05
704,2.3452761010763444e-05
705,5.9592476456721795e-06
706,7.43766057337472e-06
707,8.942118614917071e-05
708,1.1160272218688027e-05
709,1.265248135811566e-05
710,1.774635724258493e-05
711,2.6018423021650302e-05
712,2.670918960256686e-05
713,4.543762351967375e-05
714,1.1496915618030466e-05
715,2.6503322534824356e-05
716,2.2999298522096197e-05
717,1.9015690761833353e-05
718,3.195509392435468e-05
719,2.8429260096094183e-05
720,4.958930372139398e-05
721,3.0023855254989358e-05
722,1.813236583169676e-05
723,1.1601446993159712e-05
724,1.5709780095325005e-05
725,8.782028232199681e-06
726,3.0439013109201876e-05
727,2.7554646648228553e-05
728,2.7795243436804163e-05
729,1.5350693767491945e-05
730,6.937813120666646e-05
731,5.7702616336342413e-05
732,7.194893935794177e-05
733,0.0001048440181835481
734,1.9602974085514936e-05
735,1.1684159488969261e-05
736,1.5624324403839625e-05
737,1.3971796669650936e-05
738,1.7465890328073734e-05
739,8.315063389410788e-06
740,1.4514440149729254e-05
741,1.8813037650839133e-05
742,5.158184930457002e-05
743,4.8853301814513744e-05
744,9.105086975474081e-06
745,1.2913569180880692e-05
746,7.103288705162793e-06
747,1.5193067734803435e-05
748,1.6687350267404258e-05
749,1.9302623848124254e-05
750,1.3481187042437211e-05
751,5.104308090225344e-06
752,8.126859480145713e-06
753,6.270149632951528e-06
754,3.432574581197941e-05
755,4.135958980745842e-06
756,6.455212771221662e-06
757,4.729444740670033e-06
758,6.337426795155262e-06
759,6.6449760163670195e-06
760,7.049433111471524e-05
761,4.19732666209659e-05
762,3.172817679584136e-05
763,0.00015759459714089657
764,4.6388174778300824e-05
765,1.420083801772491e-05
766,2.1244892067526414e-05
767,1.8787334987418154e-05
768,2.876806024232726e-05
769,8.232186569155277e-06
770,1.8770564206492634e-05
771,7.133499799274294e-06
772,4.3093304867221754e-05
773,3.0980751909757197e-06
774,3.0128458565136242e-05
775,0.00022490968029876705
776,2.800649942893266e-05
777,0.00016787476260874854
778,3.752768594846821e-05
779,1.8415938751757416e-05
780,3.3782511671006525e-05
781,1.5511411635445047e-05
782,3.463607325570924e-05
783,1.3334723878961977e-05
784,7.0839643244503505e-06
785,8.263526868756636e-06
786,5.369217743397912e-05
787,2.8835458603522095e-05
788,3.628233611220042e-05
789,1.6295487428589677e-05
790,1.3216652336932587e-05
791,1.586517378425093e-05
792,8.853016974937321e-06
793,1.1030833492744368e-05
794,1.1588963196240233e-05
795,7.552909944393242e-05
796,6.925702382336328e-05
797,7.088092197544691e-05
798,7.238084299256733e-05
799,1.926858508185091e-05
800,1.5922456797894006e-05
801,3.0206003571393363e-05
802,9.059176854808626e-06
803,3.121366367774254e-05
804,4.751070211038484e-05
805,1.499427923978562e-05
806,5.381497434136971e-05
807,2.9675129545753105e-05
808,3.2133221013418123e-05
809,8.525732623560632e-06
810,6.504751429103728e-06
811,1.3754232616196397e-05
812,1.6343156797316707e-05
813,6.862695946853866e-06
814,5.300508911414764e-06
815,2.5287126750569486e-05
816,1.4627626808085559e-05
817,5.650267519858854e-05
818,9.264205630028433e-06
819,3.99673798981719e-06
820,4.050898788363997e-06
821,2.240281295603257e-05
822,4.58400471822113e-06
823,3.69006064506057e-05
824,1.6967833964496828e-05
825,1.6526896310158313e-05
826,2.2138986518269612e-05
827,4.180356839740179e-06
828,6.333373676450483e-05
829,6.8834749049211024e-06
830,1.1160757387030937e-05
831,9.071480790925834e-06
832,4.021261326257779e-05
833,2.5920316846346814e-05
834,2.8801272007511026e-05
835,6.4994334697523365e-06
836,1.0468204768090729e-05
837,3.42371500942506e-05
838,6.826163494618754e-06
839,4.561045790149367e-06
840,3.7492924200390804e-05
841,5.970262380116185e-06
842,1.3339007056893212e-05
843,1.881928022755708e-05
844,6.496032050079603e-05
845,3.17288686011946e-05
846,9.993991994060157e-06
847,4.388178362339228e-05
848,4.0892035391720866e-05
849,9.497144063092732e-05
850,5.2652281632954964e-05
851,1.5661948894557992e-05
852,0.0001370697484786125
853,2.8769207765986438e-05
854,6.363618190822981e-05
855,0.00013012692849558106
856,2.166257451892824e-05
857,3.3086304152700714e-05
858,7.525051365121259e-05
859,3.3530041444659214e-05
860,4.410080055918819e-05
861,1.236741744676611e-05
862,4.418111062879127e-05
863,9.194328388157394e-06
864,1.442163765427488e-05
865,5.9186959132601824e-05
866,2.771665115533122e-05
867,9.880325151944183e-06
868,9.65786057538126e-06
869,7.801762835389624e-06
870,9.511411200397389e-06
871,5.734645002661869e-05
872,8.714500618427761e-06
873,1.5210130525887418e-05
874,4.658977417188796e-05
875,3.635177892835794e-05
876,9.566862435450998e-06
877,1.1122175888543672e-05
878,1.8883441547741535e-05
879,4.113165532214809e-05
880,8.575635791207703e-05
881,0.00011602801636962887
882,5.4379515015190056e-05
883,0.00011658817631447966
884,1.7829066132632704e-05
885,1.596847985803297e-05
886,3.688934305710503e-05
887,1.703733016216071e-05
888,1.1751631281920215e-05
889,1.5544622872673272e-05
890,2.111505627256648e-05
891,1.0509636926642366e-05
892,8.657568176681055e-06
893,1.2869642646338161e-05
894,1.3407228490135853e-05
895,1.0575532643129435e-05
896,7.393836876835313e-06
897,2.6865528156660247e-05
898,1.915152771944282e-05
899,7.486909085910178e-06
900,1.4298708337483875e-05
901,1.3227527049174624e-05
902,0.00015551240806651153
903,0.0002003201062293073
904,4.891352410343537e-05
905,1.2664629994196062e-05
906,7.971142199289238e-05
907,1.3821960071013748e-05
908,3.1504771897606626e-05
909,1.6080242760184037e-05
910,1.4571794850753538e-05
911,0.00011907207666139174
912,4.2553756001805934e-05
913,9.632890709870673e-06
914,1.3606294514351922e-05
915,2.680218959021035e-05
916,4.93748594127536e-05
917,2.4526447778844445e-05
918,2.9584787466538964e-05
919,6.576445427928596e-05
920,6.187330082024949e-06
921,1.0289813475524439e-05
922,7.042634322761497e-06
923,6.914066702405674e-06
924,1.0938277382931346e-05
925,1.6508599954774793e-05
926,1.3140951828623904e-05
927,1.8494846037960205e-05
928,2.3168891678037253e-05
929,9.801057863274134e-06
930,7.079953706889026e-06
931,6.733307250026172e-05
932,3.1212548050726372e-06
933,7.037015375869841e-06
934,7.392228653467608e-06
935,1.0503023908372751e-05
936,4.454601693257269e-05
937,4.8387445069415875e-06
938,1.4889948634940831e-05
939,1.1836020910262293e-05
940,6.377381428933394e-06
941,1.2532498811413374e-05
942,8.838908333879555e-06
943,5.8975374084020374e-06
944,5.997321919964917e-05
945,1.2402346788464516e-05
946,2.540363695045869e-05
947,3.228432728958071e-05
948,5.53703356462819e-05
949,4.0957116272111305e-05
950,1.8982745358560787e-05
951,0.00031153829537794637
952,0.0002818657869760788
953,5.8896104177648306e-05
954,8.865377367910049e-05
955,8.685697167172051e-06
956,4.654747910507099e-05
957,1.734636858757698e-05
958,7.686572978646852e-05
959,6.314719344723522e-06
960,2.299769031279713e-05
961,2.78992369905442e-05
962,1.6381048503934052e-05
963,1.3673453828880913e-05
964,3.175420311249901e-05
965,1.88208662108571e-05
966,1.4703762114205805e-05
967,2.7795254225335035e-05
968,2.3524352290639257e-05
969,3.757735556804131e-05
970,3.221003120581516e-05
971,4.835393061526235e-06
972,5.977296855241263e-05
973,6.53535465811354e-06
974,3.976762825792343e-06
975,1.0322589288038417e-05
976,2.542764385240261e-05
977,3.9173750859959155e-05
978,0.00013373311814302626
979,0.0002632019065916865
980,7.12262011945767e-05
981,7.498684738659513e-05
982,0.00012044645988389784
983,1.79700889529381e-05
984,1.6269445133087084e-05
985,5.164488063760317e-05
986,7.358715336714295e-06
987,1.314582897657892e-05
988,1.7659072519075968e-05
989,2.7081708590262157e-05
990,2.1088509628861452e-05
991,5.223628488739905e-05
992,6.495292483625155e-05
993,1.7143400314379178e-05
994,5.470853829548278e-05
995,8.966654180625697e-05
996,1.4531291595292751e-05
997,1.5479361589883705e-05
998,5.1611783366094504e-05
999,1.804764592386147e-05
1000,1.3610295969526052e-05
1001,3.293812761298615e-05
1002,1.2135544428035597e-05
1003,1.1663324292653874e-05
1004,1.2419858525329793e-05
1005,1.6224307025043558e-05
1006,1.4515793624802405e-05
1007,1.695361084005874e-05
1008,1.0662782508213085e-05
1009,8.367875730758929e-06
1010,1.0460552370204545e-05
1011,3.0681185596751956e-05
1012,3.3421448991636247e-05
1013,0.00010701430342667983
1014,6.711988290409182e-05
1015,1.4667306825489844e-05
1016,2.146529700200894e-05
1017,4.7138177445659276e-05
1018,1.4374302227498612e-05
1019,5.3534793896074244e-06
1020,6.768985881086853e-05
1021,0.0002573055155340983
1022,0.0002505278535916306
1023,8.08140965910938e-05
1024,5.6463036222674855e-05
1025,4.803760406389492e-05
1026,7.889620309349804e-05
1027,6.306525797960933e-05
1028,4.868440486845431e-05
1029,1.451194706100961e-05
1030,9.229811378220624e-06
1031,5.132298944302347e-06
1032,3.9972740619242546e-05
1033,0.00011929323567247136
1034,7.441047568022103e-05
1035,0.0001659810311005263
1036,2.2825421967069013e-05
1037,1.8224749491682835e-05
1038,6.1337802661656685e-06
1039,4.6933304591517806e-05
1040,1.4566005149234577e-05
1041,2.9426939792725106e-05
1042,5.070103165027754e-05
1043,7.841567200600453e-05
1044,3.4391761979893065e-05
