Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
104,6.3,2.9,5.6,1.8,001
105,6.5,3.0,5.8,2.2,001
106,7.6,3.0,6.6,2.1,001
107,4.9,2.5,4.5,1.7,001
108,7.3,2.9,6.3,1.8,001
109,6.7,2.5,5.8,1.8,001
110,7.2,3.6,6.1,2.5,001
111,6.5,3.2,5.1,2.0,001
112,6.4,2.7,5.3,1.9,001
113,6.8,3.0,5.5,2.1,001
114,5.7,2.5,5.0,2.0,001
115,5.8,2.8,5.1,2.4,001
116,6.4,3.2,5.3,2.3,001
117,6.5,3.0,5.5,1.8,001
118,7.7,3.8,6.7,2.2,001
119,7.7,2.6,6.9,2.3,001
120,6.0,2.2,5.0,1.5,001
121,6.9,3.2,5.7,2.3,001
122,5.6,2.8,4.9,2.0,001
123,7.7,2.8,6.7,2.0,001
124,6.3,2.7,4.9,1.8,001
125,6.7,3.3,5.7,2.1,001
126,7.2,3.2,6.0,1.8,001
127,6.2,2.8,4.8,1.8,001
128,6.1,3.0,4.9,1.8,001
129,6.4,2.8,5.6,2.1,001
130,7.2,3.0,5.8,1.6,001
131,7.4,2.8,6.1,1.9,001
132,7.9,3.8,6.4,2.0,001
133,6.4,2.8,5.6,2.2,001
134,6.3,2.8,5.1,1.5,001
135,6.1,2.6,5.6,1.4,001
136,7.7,3.0,6.1,2.3,001
137,6.3,3.4,5.6,2.4,001
138,6.4,3.1,5.5,1.8,001
139,6.0,3.0,4.8,1.8,001
140,6.9,3.1,5.4,2.1,001
141,6.7,3.1,5.6,2.4,001
142,6.9,3.1,5.1,2.3,001
143,5.8,2.7,5.1,1.9,001
144,6.8,3.2,5.9,2.3,001
145,6.7,3.3,5.7,2.5,001
146,6.7,3.0,5.2,2.3,001
147,6.3,2.5,5.0,1.9,001
148,6.5,3.0,5.2,2.0,001
149,6.2,3.4,5.4,2.3,001
150,5.9,3.0,5.1,1.8,001
