Id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Species
81,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
82,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
83,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
84,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
85,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
86,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
87,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
88,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
89,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
90,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
91,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
92,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
93,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
94,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
95,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
96,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
97,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
98,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
99,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
100,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
101,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
102,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
103,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
104,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
105,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
106,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
107,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
108,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
109,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
110,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
111,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
112,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
113,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
114,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
115,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
116,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
117,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
118,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
119,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
120,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
121,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
122,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
123,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
124,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
125,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
126,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
127,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
128,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
129,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
130,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
131,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
132,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
133,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
134,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
135,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
136,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
137,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
138,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
139,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
140,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
141,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
142,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
143,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
144,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
145,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
146,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
147,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
148,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
149,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
150,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,001
